comparison,operation,round,kat_count,order,a_label,a_elapsed_ns,b_label,b_elapsed_ns
system-vs-mini-native,verify,8,8,a-then-b,system-native,5476000,mini-native,5510000
system-vs-mini-native,verify,9,9,b-then-a,system-native,5516000,mini-native,5493000
system-vs-mini-native,verify,10,10,a-then-b,system-native,5506000,mini-native,5547000
system-vs-mini-native,verify,11,11,b-then-a,system-native,5510000,mini-native,5505000
system-vs-mini-native,verify,12,12,a-then-b,system-native,5557000,mini-native,5598000
system-vs-mini-native,verify,13,13,b-then-a,system-native,5518000,mini-native,5519000
system-vs-mini-native,verify,14,14,a-then-b,system-native,5523000,mini-native,5551000
system-vs-mini-native,verify,15,0,b-then-a,system-native,5553000,mini-native,5575000
system-vs-mini-native,verify,16,1,a-then-b,system-native,5489000,mini-native,5512000
system-vs-mini-native,verify,17,2,b-then-a,system-native,5494000,mini-native,5437000
system-vs-mini-native,verify,18,3,a-then-b,system-native,5540000,mini-native,5623000
system-vs-mini-native,verify,19,4,b-then-a,system-native,5545000,mini-native,5578000
system-vs-mini-native,verify,20,5,a-then-b,system-native,5532000,mini-native,5567000
system-vs-mini-native,verify,21,6,b-then-a,system-native,5541000,mini-native,5542000
system-vs-mini-native,verify,22,7,a-then-b,system-native,5532000,mini-native,5526000
system-vs-mini-native,verify,23,8,b-then-a,system-native,5515000,mini-native,5495000
system-vs-mini-native,verify,24,9,a-then-b,system-native,5508000,mini-native,5544000
system-vs-mini-native,verify,25,10,b-then-a,system-native,5533000,mini-native,5544000
system-vs-mini-native,verify,26,11,a-then-b,system-native,5562000,mini-native,5536000
system-vs-mini-native,verify,27,12,b-then-a,system-native,5593000,mini-native,5595000
system-vs-mini-native,verify,28,13,a-then-b,system-native,5526000,mini-native,5527000
system-vs-mini-native,verify,29,14,b-then-a,system-native,5508000,mini-native,5542000
mini-tracking-vs-secure-pool,keygen,0,0,a-then-b,mini-tracking,77464000,mini-secure-pool,310306000
mini-tracking-vs-secure-pool,keygen,1,1,b-then-a,mini-tracking,50670000,mini-secure-pool,288093000
mini-tracking-vs-secure-pool,keygen,2,2,a-then-b,mini-tracking,52891000,mini-secure-pool,275639000
mini-tracking-vs-secure-pool,keygen,3,3,b-then-a,mini-tracking,59503000,mini-secure-pool,288227000
mini-tracking-vs-secure-pool,keygen,4,4,a-then-b,mini-tracking,45162000,mini-secure-pool,248245000
mini-tracking-vs-secure-pool,keygen,5,5,b-then-a,mini-tracking,57952000,mini-secure-pool,304848000
mini-tracking-vs-secure-pool,keygen,6,6,a-then-b,mini-tracking,66587000,mini-secure-pool,290113000
mini-tracking-vs-secure-pool,keygen,7,7,b-then-a,mini-tracking,52217000,mini-secure-pool,282791000
mini-tracking-vs-secure-pool,keygen,8,8,a-then-b,mini-tracking,89188000,mini-secure-pool,314675000
mini-tracking-vs-secure-pool,keygen,9,9,b-then-a,mini-tracking,78147000,mini-secure-pool,289300000
mini-tracking-vs-secure-pool,keygen,10,10,a-then-b,mini-tracking,62524000,mini-secure-pool,306247000
mini-tracking-vs-secure-pool,keygen,11,11,b-then-a,mini-tracking,46470000,mini-secure-pool,254240000
mini-tracking-vs-secure-pool,keygen,12,12,a-then-b,mini-tracking,58404000,mini-secure-pool,290204000
mini-tracking-vs-secure-pool,keygen,13,13,b-then-a,mini-tracking,50765000,mini-secure-pool,278992000
mini-tracking-vs-secure-pool,keygen,14,14,a-then-b,mini-tracking,66920000,mini-secure-pool,303476000
mini-tracking-vs-secure-pool,keygen,15,0,b-then-a,mini-tracking,77334000,mini-secure-pool,310913000
mini-tracking-vs-secure-pool,keygen,16,1,a-then-b,mini-tracking,50443000,mini-secure-pool,287139000
mini-tracking-vs-secure-pool,keygen,17,2,b-then-a,mini-tracking,52776000,mini-secure-pool,273978000
mini-tracking-vs-secure-pool,keygen,18,3,a-then-b,mini-tracking,59132000,mini-secure-pool,288176000
mini-tracking-vs-secure-pool,keygen,19,4,b-then-a,mini-tracking,45875000,mini-secure-pool,253995000
mini-tracking-vs-secure-pool,keygen,20,5,a-then-b,mini-tracking,57956000,mini-secure-pool,303749000
mini-tracking-vs-secure-pool,keygen,21,6,b-then-a,mini-tracking,66473000,mini-secure-pool,289832000
mini-tracking-vs-secure-pool,keygen,22,7,a-then-b,mini-tracking,52299000,mini-secure-pool,282236000
mini-tracking-vs-secure-pool,keygen,23,8,b-then-a,mini-tracking,89008000,mini-secure-pool,315532000
mini-tracking-vs-secure-pool,keygen,24,9,a-then-b,mini-tracking,77993000,mini-secure-pool,288750000
mini-tracking-vs-secure-pool,keygen,25,10,b-then-a,mini-tracking,62220000,mini-secure-pool,363554000
mini-tracking-vs-secure-pool,keygen,26,11,a-then-b,mini-tracking,46894000,mini-secure-pool,253726000
mini-tracking-vs-secure-pool,keygen,27,12,b-then-a,mini-tracking,58514000,mini-secure-pool,289948000
