round,order,operation,iterations,fixed_ns,mini_ns,checksum,canonical_result
2,fixed-then-mini,mul,1000,185000,415000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
2,fixed-then-mini,div,1000,590000,790000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
2,fixed-then-mini,gcd,1000,90636000,36919000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
2,fixed-then-mini,invmod,1000,75970000,44407000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
2,fixed-then-mini,sqrt,1000,6092000,6792000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
3,mini-then-fixed,mul,1000,186000,309000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
3,mini-then-fixed,div,1000,567000,687000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
3,mini-then-fixed,gcd,1000,89590000,36560000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
3,mini-then-fixed,invmod,1000,74891000,42873000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
3,mini-then-fixed,sqrt,1000,5650000,6724000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
4,fixed-then-mini,mul,1000,194000,344000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
4,fixed-then-mini,div,1000,583000,790000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
4,fixed-then-mini,gcd,1000,90565000,36433000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
4,fixed-then-mini,invmod,1000,75569000,43697000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
4,fixed-then-mini,sqrt,1000,5825000,6707000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
5,mini-then-fixed,mul,1000,185000,316000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
5,mini-then-fixed,div,1000,586000,690000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
5,mini-then-fixed,gcd,1000,89556000,36641000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
5,mini-then-fixed,invmod,1000,74035000,43810000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
5,mini-then-fixed,sqrt,1000,5888000,6853000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
6,fixed-then-mini,mul,1000,186000,318000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
6,fixed-then-mini,div,1000,582000,688000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
6,fixed-then-mini,gcd,1000,90721000,36121000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
6,fixed-then-mini,invmod,1000,75909000,42749000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
6,fixed-then-mini,sqrt,1000,5679000,6635000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
7,mini-then-fixed,mul,1000,186000,320000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
7,mini-then-fixed,div,1000,586000,685000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
7,mini-then-fixed,gcd,1000,89475000,35835000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
7,mini-then-fixed,invmod,1000,75182000,43158000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
7,mini-then-fixed,sqrt,1000,5664000,6661000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
8,fixed-then-mini,mul,1000,188000,334000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
8,fixed-then-mini,div,1000,585000,690000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
8,fixed-then-mini,gcd,1000,89727000,35765000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
8,fixed-then-mini,invmod,1000,74277000,43048000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
8,fixed-then-mini,sqrt,1000,5662000,6638000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
9,mini-then-fixed,mul,1000,185000,310000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
9,mini-then-fixed,div,1000,582000,688000,8027614064300700742,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001146c1bceddad2d5b2541d8941fce87ff87bd9ec07d772de931555f3819d657c71ee69e9872f6107eb59a4b3a689b98d55fc77956231ed04949d10a07e103158e11815ff29f063ca3882a4c161021cfefece66a37a6158b59ba46e6e99e8ebddb:000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000744a37cb47809f3ca10bc12e6d09e7244f3622f5640fc9875d1620b4a77e6ecf54762a0f8a10f05734e446def37dc22f91844d8b017bdcf20fe230bf8bd7890200e99fcbbabe5bce27d3ba75b2d8ce48e0f0637b93c486fe387594c343fcc672
9,mini-then-fixed,gcd,1000,89186000,35818000,1216651553921916950,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001
9,mini-then-fixed,invmod,1000,73916000,41667000,582249100450782574,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b62643618047fe935fbbd633c5d2355eeb036b4f48603516e336620e69b1df8bbe004806b35945b4747fecf621206ed376c270e92f191e25096015c93beaaa424
9,mini-then-fixed,sqrt,1000,5623000,6644000,10458507428752323897,000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e3b866267e90930119a7753412a07ad6a5009ef7d42681991370462ba4502d1af0627f6a4f63f3db12226a5362e027ea24fe3e92680a18d8a2faa1341effd06b99074829f0883f9fbbc2a8d815af1bdb0f0b0ef773102fa0074df7ba5465db4e
10,fixed-then-mini,mul,1000,185000,320000,2447613068693546304,0000000000000000000000000000000000000000000000006ae01a673b82782464735ffb95557b7bcfe6084ae066e771951035b0affa98e65011902e6d7ef048e8f74f366a4bfa8534602a5e502a8c57bf935edc03af1bd8328301ff8ff30d0971cb181d147b60b64dcdbe0a78a4403c9e72074250dd59507acc47606834ef2d88900849a2686431508f5dbd81ba82bcf933f4a8e8e5bf1e2b803ecc5c80c7202eafce140bfc64396e9c53b4a2fbc22155473528b7ed012c7d101e61af462ba92d8f8e4c2136cd4649d1fe16afcffba29c987dfc3e02fb31
