sample,pair,class,order,seed,elapsed_ns,d4_inputs,d4_attempts,d4_first_failures,d8_inputs,d8_attempts,d8_first_failures,d16_inputs,d16_attempts,d16_first_failures,ml2_inputs,ml2_attempts,ml2_first_failures,signature_fnv64
53,26,B,A-first,8365839641255157867,548846000,3,3,0,11,11,0,3,3,0,17,17,0,e0ce8de84f6ff265
54,27,B,B-first,12391661300978548234,664895000,3,3,0,11,11,0,3,3,0,17,17,0,3c66caf88ba322e2
55,27,A,B-first,5999710954555133489,812251000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
56,28,A,A-first,5999710954555133489,809052000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
57,28,B,A-first,13076714478352092086,895898000,3,3,0,11,11,0,3,3,0,17,17,0,0e41b1eaea2584a4
58,29,B,B-first,13427402966873120026,519658000,3,3,0,12,12,0,3,3,0,18,18,0,60420dd692289d40
59,29,A,B-first,5999710954555133489,809980000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
60,30,A,A-first,5999710954555133489,812510000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
61,30,B,A-first,13287728832922998108,297827000,3,3,0,11,11,0,3,3,0,17,17,0,7e79523d687c3da8
62,31,B,B-first,13606743526313246680,747880000,3,3,0,12,12,0,3,3,0,18,18,0,160918d62e5a9a53
63,31,A,B-first,5999710954555133489,812095000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
64,32,A,A-first,5999710954555133489,811558000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
65,32,B,A-first,10957987238844971492,496701000,3,3,0,11,11,0,3,3,0,17,17,0,48749d6b81d1bbad
66,33,B,B-first,1387786489429541378,705719000,3,3,0,12,12,0,3,3,0,18,18,0,0c765d3174901d92
67,33,A,B-first,5999710954555133489,807420000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
68,34,A,A-first,5999710954555133489,810522000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
69,34,B,A-first,14865396613124304513,597289000,3,3,0,11,11,0,3,3,0,17,17,0,4e6d91056dd3206a
70,35,B,B-first,11136364323668202034,930555000,3,3,0,11,11,0,3,3,0,17,17,0,b789005690a4e2d8
71,35,A,B-first,5999710954555133489,812544000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
72,36,A,A-first,5999710954555133489,809924000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
73,36,B,A-first,6250372912393906953,471237000,3,3,0,11,11,0,3,3,0,17,17,0,c755c5a2c3a7177a
74,37,B,B-first,13143677462639060362,638742000,3,3,0,11,11,0,3,3,0,17,17,0,112107c8821a01c7
75,37,A,B-first,5999710954555133489,811021000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
76,38,A,A-first,5999710954555133489,812559000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
77,38,B,A-first,134775790262573166,795938000,3,3,0,11,11,0,3,3,0,17,17,0,096ac78dd89440ad
78,39,B,B-first,16576546681787968880,612968000,3,3,0,12,12,0,3,3,0,18,18,0,12d2e59eb5c4f5fc
79,39,A,B-first,5999710954555133489,809086000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
80,40,A,A-first,5999710954555133489,809789000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
81,40,B,A-first,17937708578470471451,768763000,3,3,0,11,11,0,3,3,0,17,17,0,cca82cb446cd4172
82,41,B,B-first,11038316942610582860,367583000,3,3,0,11,11,0,3,3,0,17,17,0,bb46edf2e3b09d4e
83,41,A,B-first,5999710954555133489,809375000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
84,42,A,A-first,5999710954555133489,809215000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
85,42,B,A-first,2949826092126892291,662733000,3,3,0,12,12,0,3,3,0,18,18,0,18e86e61d961832a
86,43,B,B-first,11303639812522640203,686816000,3,3,0,12,12,0,3,3,0,18,18,0,8ac30eaf84bbe63c
87,43,A,B-first,5999710954555133489,811274000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
88,44,A,A-first,5999710954555133489,809751000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
89,44,B,A-first,10446164177184317730,646355000,3,3,0,11,11,0,3,3,0,17,17,0,10badc73fcf56d04
90,45,B,B-first,18114124049019561668,490243000,3,3,0,12,12,0,3,3,0,18,18,0,651f0f997b92365c
91,45,A,B-first,5999710954555133489,806793000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
92,46,A,A-first,5999710954555133489,809983000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
93,46,B,A-first,3272027361880317973,635371000,3,3,0,11,11,0,3,3,0,17,17,0,f176a8a7be52f203
94,47,B,B-first,5336698626316487531,514950000,3,3,0,12,12,0,3,3,0,18,18,0,db80522f252bc69f
95,47,A,B-first,5999710954555133489,805430000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
96,48,A,A-first,5999710954555133489,809803000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
97,48,B,A-first,12236848000085267009,555079000,3,3,0,11,11,0,3,3,0,17,17,0,5cc7618969880518
98,49,B,B-first,6487345785947902411,798252000,3,3,0,12,12,0,3,3,0,18,18,0,4aa799f991d3cf4c
99,49,A,B-first,5999710954555133489,808814000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
100,50,A,A-first,5999710954555133489,808308000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
101,50,B,A-first,10658717428816962167,928225000,3,3,0,12,12,0,3,3,0,18,18,0,e3906a3156267795
102,51,B,B-first,5800887585207603241,434594000,3,3,0,11,11,0,3,3,0,17,17,0,42e5adaa88cbd6c3
103,51,A,B-first,5999710954555133489,807232000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
104,52,A,A-first,5999710954555133489,808231000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
105,52,B,A-first,4024040214347306988,505300000,3,3,0,12,12,0,3,3,0,18,18,0,b7a732df29fdff2f
106,53,B,B-first,57561873003207442,465316000,3,3,0,11,11,0,3,3,0,17,17,0,116fc966c916682f
107,53,A,B-first,5999710954555133489,806880000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
108,54,A,A-first,5999710954555133489,806928000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
109,54,B,A-first,5653460934320774846,459892000,3,3,0,12,12,0,3,3,0,18,18,0,ce3a07b5c3361a49
110,55,B,B-first,571288326760087601,625023000,3,3,0,12,12,0,3,3,0,18,18,0,a8e702ef6f3b5357
111,55,A,B-first,5999710954555133489,808817000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
112,56,A,A-first,5999710954555133489,807624000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
113,56,B,A-first,12959236711590959257,827491000,3,3,0,12,12,0,3,3,0,18,18,0,3f7025dd1b041b82
114,57,B,B-first,8128895877503091734,381417000,3,3,0,12,12,0,3,3,0,18,18,0,26afc43c1f082a5f
115,57,A,B-first,5999710954555133489,809383000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
116,58,A,A-first,5999710954555133489,807771000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
117,58,B,A-first,7886205986134419855,483284000,3,3,0,12,12,0,3,3,0,18,18,0,caabaea6a03927ac
118,59,B,B-first,9933338462726141648,1541517000,3,3,0,11,11,0,3,3,0,17,17,0,c338bc25576f4ad5
119,59,A,B-first,5999710954555133489,812339000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
120,60,A,A-first,5999710954555133489,808536000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
121,60,B,A-first,2512335019419641135,880867000,3,3,0,12,12,0,3,3,0,18,18,0,a0f1fc01f63c0800
122,61,B,B-first,790980654680114591,564797000,3,3,0,12,12,0,3,3,0,18,18,0,cc0c124fbef3b94f
123,61,A,B-first,5999710954555133489,810801000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
124,62,A,A-first,5999710954555133489,808336000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
125,62,B,A-first,13599025844114252524,933767000,3,3,0,11,11,0,3,3,0,17,17,0,6c0c50d1fff28f2c
126,63,B,B-first,5510476169869607759,437292000,3,3,0,12,12,0,3,3,0,18,18,0,64894913ecc1bb30
127,63,A,B-first,5999710954555133489,808704000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
