sample,pair,class,order,seed,elapsed_ns,d4_inputs,d4_attempts,d4_first_failures,d8_inputs,d8_attempts,d8_first_failures,d16_inputs,d16_attempts,d16_first_failures,ml2_inputs,ml2_attempts,ml2_first_failures,signature_fnv64
0,0,A,A-first,5999710954555133489,803908000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
1,0,B,A-first,7960286522194355700,359501000,3,3,0,11,11,0,3,3,0,17,17,0,d300fbc490f73c94
2,1,B,B-first,13757245211066428519,895780000,3,3,0,12,12,0,3,3,0,18,18,0,36d5480be5852c42
3,1,A,B-first,5999710954555133489,804973000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
4,2,A,A-first,5999710954555133489,804505000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
5,2,B,A-first,13819372491320860226,1236440000,3,3,0,11,11,0,3,3,0,17,17,0,f3095587920a94e8
6,3,B,B-first,12918135221727111561,766825000,3,3,0,12,12,0,3,3,0,18,18,0,fbe42483c9331095
7,3,A,B-first,5999710954555133489,805186000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
8,4,A,A-first,5999710954555133489,805650000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
9,4,B,A-first,16462000697783136304,1012721000,3,3,0,11,11,0,3,3,0,17,17,0,a27b26f966e8fb72
10,5,B,B-first,13877614986023876344,977405000,3,3,0,11,11,0,3,3,0,17,17,0,4841b44dab41a5c8
11,5,A,B-first,5999710954555133489,805803000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
12,6,A,A-first,5999710954555133489,805641000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
13,6,B,A-first,8233034982601383833,394801000,3,3,0,11,11,0,3,3,0,17,17,0,f75cdb5f424d540e
14,7,B,B-first,309689372594955804,719958000,3,3,0,11,11,0,3,3,0,17,17,0,647b3dfafb352f75
15,7,A,B-first,5999710954555133489,806499000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
16,8,A,A-first,5999710954555133489,805637000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
17,8,B,A-first,11288449918072354817,954213000,3,3,0,12,12,0,3,3,0,18,18,0,07d524f5da4ab6f5
18,9,B,B-first,13847876567842155106,621709000,3,3,0,11,11,0,3,3,0,17,17,0,ee873526a93c215a
19,9,A,B-first,5999710954555133489,805760000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
20,10,A,A-first,5999710954555133489,806328000,3,3,0,11,11,0,3,3,0,17,17,0,bb8d6856dd4c7ff0
